,Brand Name,Name of the Product,Rating,No. of Ratings,Price,Return/Exchange,Expected Delivery,Availability,Other Details,Product URL
20,Visit the Kadence Store,"Kadence Frontier guitar with Online Guitar learning course, Wine Red Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Wine Red, Acoustic)",4 out of 5,"1,538 ratings","₹5,399.00",7 Days Replacement,-,,"★ Design - The High Gloss finish, Simple head design, Streamlined Cutaway Curvature makes the head and the body integrated, beautiful.
★ Size (40 inch) - Suitable for the guitarist over 10 years old, especially the beginners, students or adults.
★ Quality Strings -The surface is coated with a bronze coating which doest rust easliy and prolongs the use of the strings.
★ Adjustable Action - Built-in truss rod helps balance the tension caused by strings or temperature change, for a straight and durable neck.
★ Bridge - The Indian Rosewood bridge has high hardness, strong vibration conductivity, stable and rich tone transmission.
★ Accessories - Strap, Strings, Picks and Bag Included.
★ Semi Acoustic* (only in Electric Variant) - Built-in preamp for amplified use with volume control, 4 band EQ: bass, mid, treble and press.",https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B01GDZ46AA/ref=sr_1_18?keywords=Guitars&qid=1656388220&smid=AM04Z7MH4HSDD&sr=8-18
21,Visit the JUAREZ Store,"Juarez Acoustic Guitar, [ LEFT HANDED] 38 Inch Cutaway, 38CL/BK with Bag, Strings, Pick and Strap, Black",3.9 out of 5,698 ratings,-,7 Days Replacement,-,In stock.,"First Time In India - [ Left Handed ] Acoustic Guitar with strap, Bag, Strings and 2 Picks, Black Glossy Finish, Number of Frets: 18,
Great looks with an innovative design to produce good quality sound. [ NOTE : THIS GUITAR IS DESIGNED TO SUIT LEFT HANDED GUITAR PLAYERS, NOT SUITABLE FOR RIGHT HANDED GUITAR PLAYERS ]
Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway
Included components: Left Handed Acoustic Guitar with strap, Bag, Strings and 2 Picks
Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings",https://www.amazon.in/Juarez-Acoustic-Cutaway-BK-Strings/dp/B076T3RHMG/ref=sr_1_19?keywords=Guitars&qid=1656388220&sr=8-19
22,Visit the JUAREZ Store,"Juârez Acoustic Guitar, 38 Inch Cutaway, JRZ38C with Bag, Strings, Pick and Strap, Red",4.1 out of 5,"1,284 ratings",-,7 Days Replacement,-,In stock.,"Black Glossy Finish, Number of Frets: 18, Acoustic Guitar with strap, Bag, Strings and 2 Picks
Great looks with an innovative design to produce good quality sound
Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway
Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks
Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings",https://www.amazon.in/JUAREZ-JRZ38C-Handed-Acoustic-Strings/dp/B01FYYTDW2/ref=sr_1_20?keywords=Guitars&qid=1656388220&sr=8-20
23,Brand: Medellin,"Medellin 38"" Acoustic Guitar Carbon Fiber body+(Free Online Learning Course) - Durable Matt finish with handrest, strings, strap, bag, 3 Picks, capo, stand. (natural)",3.8 out of 5,32 ratings,"₹2,499.00",7 Days Replacement,-,In stock.,-,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A093834425X8CW6M8IIIL&url=%2FMedellin-carbn-guitar-38inch-NATURAL%2Fdp%2FB09MSHD6TS%2Fref%3Dsr_1_21_sspa%3Fkeywords%3DGuitars%26qid%3D1656388220%26sr%3D8-21-spons%26psc%3D1&qualifier=1656388220&id=5814468191615971&widgetName=sp_mtf
24,Brand: FESTRA,"Festra R-40- Trussrod Acoustic Guitar Kit with Bag, Strap, One Pack Strings and Picks (Classic Maroon)",4.1 out of 5,10 ratings,"₹4,080.00",7 Days Replacement,-,In stock.,"Material: Top: Spruce, Side & Back: - linden wood, Fingerboard:- Rosewood
Bridge：Rosewood, Neck: Catalpa wood, Machine head: Chrome die cast, Binding: ABS, Finish- High Gloss
Includes: 40 Inch Acoustic guitar with Belt, bag, string set and 2 picks With TRUSS ROD adjustment support
Truss Rod for better adjustment of Guitar Action , Size 40"" ,Style - Cutaway, innovative design to produce good quality sound
Note: Product design may slightly vary Due to Photography lighting effect",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0429543ZYH6NWVXS8UU&url=%2FFestra-Trussrod-Acoustic-Strings-Classic%2Fdp%2FB09VLDCT9H%2Fref%3Dsr_1_22_sspa%3Fkeywords%3DGuitars%26qid%3D1656388220%26sr%3D8-22-spons%26psc%3D1&qualifier=1656388220&id=5814468191615971&widgetName=sp_mtf
25,Visit the VAULT Store,Vault EA40 41 inch Premium Solid Spruce-Top Cutaway Acoustic Guitar,3.9 out of 5,364 ratings,-,7 Days Replacement,-,In stock.,"Solid Spruce Top - Solid Wood-Top guitars provide a richer sound and greater resonance than laminate or ply tops, and are normally found only on premium priced guitars. The end result is the Vault EA40 providing rich natural wood resonance, yet priced at a fraction of a typical solid-top guitar.
Vault EA40 comes with a dual action truss rod which gives you the liberty to adjust the action of your neck in either direction if warped. This is a more advanced design and is used by modern luthiers over the vintage single truss rod. Thus, a warp in the neck in either direction can be fixed.
Vault EA40 comes with high precision (18:1), chrome-plated die-cast tuners. This allows you an effortless & precise tuning. This is a preferred tuning machine head preferred by a lot of professional guitarists, as they stay in tune for longer.
Acoustic Steel String Guitar | Truss Rod | Cutaway
Size 41” | Finish - Natural | Top - Solid Spruce
Back - Mahogany Laminate | Sides - Mahogany Laminate
Fret Board - Rosewood | 20 Frets
Diecast Tuners | Scale: 1016 mm",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07400101YBINYLP9UEXI&url=%2FPremium-Spruce-Top-Cutaway-Acoustic-Guitar%2Fdp%2FB08FFZY6BJ%2Fref%3Dsr_1_23_sspa%3Fkeywords%3DGuitars%26qid%3D1656388220%26sr%3D8-23-spons%26psc%3D1&qualifier=1656388220&id=5814468191615971&widgetName=sp_mtf
26,Brand: DIKUJI ENTERPRISE,DIKUJI ENTERPRISE Plastic Medium Acoustic Guitar Learning Toy for Kids (Brown),-,-,-,7 Days Returnable,-,In stock.,"4 Strings wooden finish guitar with adjustable tuning knobs.
Good sound with good wooden finish in quality plastic material.
Functional guitar with tuning keys and playable.
Kids can have fun and learn music.
Designs & Colors can vary as per the availability.",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06775112XSORV7NVPS9L&url=%2FDIKUJI-ENTERPRISE-Acoustic-Guitar-Learning%2Fdp%2FB099GS1WG6%2Fref%3Dsr_1_24_sspa%3Fkeywords%3DGuitars%26qid%3D1656388220%26sr%3D8-24-spons%26psc%3D1&qualifier=1656388220&id=5814468191615971&widgetName=sp_mtf
27,Visit the Intern Store,"Intern INT-38C Acoustic Guitar Kit (Sunburst) with Carry bag, Picks, Strings set and Guitar Strap, Small",4 out of 5,"10,366 ratings",-,7 Days Replacement,-,-,"Great looks with an innovative design to produce sound
Material: Linden wood finger board with ebony wood fretboard and 38-inch cutaway design
Sunburst glossy finish with 18 frets
Includes: 38-inch acoustic guitar with strap, bag, string set and 3 picks
Linden binding and full wood construction with geared tuning, wood frame and steel strings
Bridge material: Plastic
Note: Product design may slightly vary",https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Sunburst/dp/B073B5MJRM/ref=sr_1_25?keywords=Guitars&qid=1656388220&sr=8-25
28,Brand: Medellin,"Medellin 38"" Acoustic Guitar Brown Carbon Fiber Body with FREE Online LEARNING COURSE Durable Matt finish Body for beginners with handrest, set of Strings, Strap, Bag, 3 Picks, Capo, Guitar Wall Hanging Stand and Free GUITAR LEARNING COURSE (Special Learning Combo with Guitar)",3.6 out of 5,29 ratings,"₹2,499.00",7 Days Replacement,-,In stock.,"♫ CARBON FIBER GUITAR: As a substitute for tonewood, carbon fiber has the resembling tonal traits. This Guitar is made of a carbon fiber composite material, maximally transferring the string vibration energy into great acoustics performance, loud and balanced.
♫ STABLE AND RELIABLE: Unlike wood, carbon fiber never warps, cracks, or scratches, staying consistent across different temperature and humidity conditions. Take it on travels from hills to desert and everywhere in between. It stays the same, sounds the same.
♫ SOUND: This carbon fiber guitar has a sound people describe as very rich, loud and resonant with a nice balanced tone. Medellin guitars compare favorably to acoustic guitars from all the top wood and carbon fiber brands for beginners.
♫ WHAT YOU GET: Each Medellin Carbon Fiber guitar is packaged with a set of Strings, Strap, Bag, 3 Picks, Capo, Guitar Wall Hanging Stand and Free GUITAR LEARNING COURSE. (Special Learning Combo with Guitar)
♫ Learn on the go: You get a free specialised learning course with the instrument. The access key you receive with the guitar shall be claimed to start the free learning course. Guitar Course starts from 15th December 2021.",https://www.amazon.in/Medellin-Acoustic-LEARNING-beginners-handrest/dp/B09MSKKHJC/ref=sr_1_26?keywords=Guitars&qid=1656388220&sr=8-26
29,Visit the Henrix Store,"Henrix 38C 38 inch Cutaway Acoustic Guitar with Dual Action Truss Rod, Gigbag, Picks, String Set, Strap, Cloth & Ebook - Black",3.7 out of 5,395 ratings,-,7 Days Replacement,-,In stock.,"Acoustic Steel String Guitar | Truss Rod | Cutaway | Size 38”
Finish - Gloss | Top - Basswood | Back/Sides - Basswood | Fretboard - Syntheticwood
Bridge: Carbon Fibre | 18 Frets | Open Gear Tuners | Scale: 643 mm
Colour: Natural, Sunburst, Red-Burst, Black & Blue-Burst | Body Type : Cutaway
We add an accessory pack with this guitar which makes this a one-stop solution for any beginner. The pack includes - A guitar strap, three plectrums (picks), extra strings set, string winder & a microfibre guitar polishing cloth & E-book",https://www.amazon.in/Henrix-Acoustic-Guitar-Die-cast-Dual-action/dp/B07VNDW6QF/ref=sr_1_27?keywords=Guitars&qid=1656388220&sr=8-27
30,Visit the Kadence Store,"Kadence Slowhand Premium Jumbo Semi Acoustic Guitar with Heavy Padded Bag, guitar cable, Pro Capo (Black Spruce Wood)",4.1 out of 5,439 ratings,"₹9,999.00",7 Days Replacement,-,,"ACOUSTIC-ELECTRIC GUITAR: Kadence Slowhand semi acoustic rosewood guitar is a finely crafted guitar to give complete tonal control. Designed in premium tonal woods, our semi acoustic-electric guitars are built to have great sound quality, high durability, and increased ease of use for both beginners as well as professionals. The 41-inch stature makes it easy to handle and carry around. This black acoustic guitar comes with a protective padded bag so you can carry it everywhere you go.
ADJUSTABLE ACTION: Built-in truss rod can balance the tension caused by strings or temperature change shrinking, for a straight and durable neck. The adjustable rosewood acoustic electric guitar neck allows your hand to stay in a comfortable position by keeping the strings at a perfect height. Kadence Slowhand black acoustic electric guitar comes with accessories including a zipped padded bag, an in-built tuner, adjustable guitar strap, extra strings, 3 guitar picks, a capo, and a guitar cable.
DURABLE STRINGS: Built for great sound quality, high durability, and increased ease of use. The surface is coated with a film coating, which is not easy to rust, which prolongs the use time of the strings and reduces the burden on the fingers when pressing the strings. The tuning pegs are engineered for good sound quality. The tuning keys are smooth and easy to adjust to keep the guitar in tune. Kadence guitars have better bass, volume, and fuller sound. The strings are smooth and soft to touch.
EASY CUTAWAY DESIGN TO PLAY: The cutaway design of this guitar electric acoustic allows you easier access to the upper frets. The deep pore paint finish, simple head design, streamlined curvature makes the head and the body integrated, beautiful. The rosewood bridge has high hardness, strong vibration conductivity, stable and rich tone transmission. Place the included pickguard underneath the guitar soundhole to protect from pick scratches while playing. Suitable for all styles of music.
QUALITY INSTRUMENTS FOR EVERYDAY: With a wide variety of musical instruments, Kadence is committed to developing better comfortable and functional acoustic guitars, providing quality services and excellent products. With quality instruments from Kadence, you’ll have a constant companion for life. Regardless of what you love to play, just make sure to express yourself. Whatever your age or skill level, our electric guitars will make sure all your musical desires are fulfilled.",https://www.amazon.in/Kadence-Slowhand-Premium-Acoustic-Instrument/dp/B077SZ667X/ref=sr_1_28?keywords=Guitars&qid=1656388220&smid=AM04Z7MH4HSDD&sr=8-28
31,Visit the JUAREZ Store,"JUAREZ JRZ38CTR/BK 38 Inch Acoustic Guitar with Dual Action Truss Rod, Bag, Picks, Allen Key, Extra String Set, Black",3.7 out of 5,247 ratings,-,7 Days Replacement,-,In stock.,"Glossy finish, Number of frets - 18, 38 Inch Acoustic Guitar with Dual Action Truss Rod which gives you the liberty to adjust the action of your neck in either direction if warped.
Material : Top, Back, Sides & Neck - Linden Solid Wood, Fretboard & Bridge - ABS, Machine Head : Chrome Open, Stainless Steel Copper Wound Strings
Linden binding and full wood construction with geared tuning, wooden frame and steel strings. Features a sturdy top with smooth curves, promoting comfort during playing. This solid wood produces a smooth and rich sound ideal for rock, folk, country, and every genre in between!
Loosening a truss rod (turning counter-clockwise) adds relief to (decreases tension on) the neck which results in increased (higher) string action height. . This reduces relief, lowering the string action (height of the strings over the frets). Turn the nut clockwise to tighten the rod.
Included components: Acoustic Guitar with Strap, Bag, Strings, Truss Rod Wrench/Allen Key and 2 Plectrums",https://www.amazon.in/JUAREZ-JRZ38CTR-BK-Acoustic-Guitar/dp/B08FTZK7H8/ref=sr_1_29?keywords=Guitars&qid=1656388220&sr=8-29
32,Visit the YAMAHA Store,"Yamaha F280 Acoustic Guitar, Natural With Bajaao Gig Bag",4.5 out of 5,131 ratings,-,7 Days Replacement,-,Only 1 left in stock.,"Comfortable playability for beginners | High durability and stability proven by Yamaha's quality standard
Designed above all to protect your instrument, but also to be stylish and durable. Backpack-style straps for easy transport. This economy bag has a durable nylon outer shell and is waterproof. It does not have any foam padding.
Brand: YAMAHA | Colour: Natural | Top Material Spruce Plywood | Body Material Rosewood | Neck Material Rosewood
Specifications : Body Depth : 96-116mm | Nut Width : 43mm | String Spacing : 10mm | Top Material : Spruce | Nut Material : Urea | Bridge Pins : Black ABS | Tuners : Covered Chrome
Included In bundle F280 Acoustic Guitar + Bajaao Standard Acoustic Guitar Bag",https://www.amazon.in/Yamaha-Acoustic-Guitar-Natural-Bajaao/dp/B08RMP2F6Z/ref=sr_1_30?keywords=Guitars&qid=1656388220&sr=8-30
33,Visit the Intern Store,"Intern INT-38C-SB-G Cutaway Right Handed Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Sunburst, 6 Strings)",4 out of 5,"1,350 ratings",-,7 Days Replacement,-,In stock.,"38 inches cutaway revolutionary design and configuration to produce marvellous sound
Hi gloss sunburst color finish
Guitar bundled with accessories like smart strap, bag, strings set and 3 picks
Easy to hold for stress-free playing and ultra-portable
Quality linden wood soundboard for unsurpassed resonance
Intern hi gloss 38-inch guitar, 1 set string, bag, strap and 3 picks
Country of Origin: China",https://www.amazon.in/Intern-INT-38C-SB-G-Guitar-Kit-Sunburst/dp/B07K8WLPLH/ref=sr_1_31?keywords=Guitars&qid=1656388220&sr=8-31
34,Visit the Intern Store,"Intern INT-38C Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Red",4 out of 5,"10,366 ratings",-,7 Days Replacement,-,In stock.,"Great looks with an innovative design to produce sound. Pickup Battery Included: No
Material: Linden wood finger board with ebony wood fretboard and 38-inch cutaway design
Red burst glossy finish with 18 frets
Includes: 38-inch acoustic guitar with strap, bag, string set and 3 picks
Linden binding and full wood construction with geared tuning, wood frame and steel strings
Bridge material: Plastic
Note: Product design may slightly vary",https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Kit/dp/B073B6TF31/ref=sr_1_32?keywords=Guitars&qid=1656388220&sr=8-32
35,Brand: Medellin,"Medellin 38"" Acoustic Guitar Carbon Fiber body+(Free Online Learning Course) - Durable Matt finish with handrest, strings, strap, bag, 3 Picks, capo, stand. (natural)",3.8 out of 5,32 ratings,"₹2,499.00",7 Days Replacement,-,In stock.,-,https://www.amazon.in/Medellin-carbn-guitar-38inch-NATURAL/dp/B09MSHD6TS/ref=sr_1_33?keywords=Guitars&qid=1656388220&sr=8-33
36,Brand: Fender,Fender Classic Design CD-60S Dreadnought Acoustic Guitar (Black),4.6 out of 5,86 ratings,-,7 Days Replacement,-,Only 1 left in stock.,"Body Back : Mahogany Body Sides : Mahogany Body Top : Solid Spruce
Body Finish : Gloss Body Shape : Dreadnought Body Binding : Multiple
Bracing : Quartersawn Scalloped ""X"" Rosette : CD Series Pearloid Neck Material : Mahogany
Neck Binding : 1-Ply Black Neck Finish : Gloss Urethane Neck Shape : Fender 'Easy-to-Play' shape with rolled fretboard edges
Scale Length : 25.3"" (643 mm) Fingerboard Material : Walnut Fingerboard Radius : 12"" (305 mm)",https://www.amazon.in/Fender-Classic-Design-Dreadnought-Acoustic/dp/B07HYS18LJ/ref=sr_1_34?keywords=Guitars&qid=1656388220&sr=8-34
37,Visit the Kadence Store,"Kadence Frontier Jumbo Semi Acoustic Guitar With Die Cast Keys Super Combo (Bag, 1 pack Strings, Strap, Picks, Capo, Tuner (natural)",4 out of 5,"1,238 ratings","₹7,348.00",7 Days Replacement,-,In stock.,"QUALITY STRINGS ---The surface is coated with a film coating, which is not easy to rust, which prolongs the use time of the strings and reduces the burden on the fingers when pressing the strings.
DESIGN --- Simple head design, streamlined curvature makes the head and the body integrated, beautiful. The rosewood bridge has high hardness, strong vibration conductivity, stable and rich tone transmission.
SIZE (41 inch)---Suitable for the guitarist over 14 years old, especially the beginners, students or adults.
ADJUSTABLE ACTION----Built-in truss rod can balanced the tension caused by strings or temperature change shrinking, for a straight and durable neck. The adjustable acoustic guitar neck allows your hand to stay in a comfortable position by keeping the strings in a perfect height.
ELECTRO-ACOUSTIC---Built-in preamp for amplified use with volume control, 4 band EQ: bass and treble, integrated tuner for fast and easy tuning.
ACCURATE TUNE---- Kadence guitars employes 18:1 premium machine head, run very smooth, no slack. it can help you to lock the string in position and adjust the pitch more accurate.
Package Details:1 pack of Strings, picks, turner, bag, strap and capo",https://www.amazon.in/Kadence-Frontier-Acoustic-Equalizer-Strings/dp/B01HRIHH9E/ref=sr_1_35?keywords=Guitars&qid=1656388220&sr=8-35
38,Visit the Intern Store,"Intern INT-38C Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Purple",4 out of 5,"10,366 ratings",-,7 Days Replacement,-,In stock.,"Great looks with an innovative design to produce good quality sound
Material: Linden wood finger board with ebony wood fretboard and 38-inch cutaway design
Purple burst glossy finish with 18 frets
Includes: 38-inch acoustic guitar with strap, bag, string set and 3 picks
Linden binding and full wood construction with geared tuning, wood frame and steel strings
Bridge material: Plastic
Note: Product design may slightly vary",https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Purple/dp/B073B4CT2F/ref=sr_1_36?keywords=Guitars&qid=1656388220&sr=8-36
39,Visit the Kadence Store,Kadence Acoustica 34” Acoustic Guitar A03 with bag,3.7 out of 5,25 ratings,-,7 Days Replacement,-,In stock.,"*FIRST CHOICE - Quality, Attractive, and Affordable, 34 inches acoustic guitar is great value for money that represent the Mahogany guitar. Perfect size for adults, beginners, student and guitarist
*BALANCED SOUND - Handcrafted body and ""X"" bracing structure offers both bright and warm tone that has excellent acoustic properties and great extension and response
*SMOOTH PLAY - High density wood fingerboard and bridge offers both sturdy construct and smooth touch that you can roll over the nickel silver frets freely. The Sealed Gear machine head keeps the strings in tune, and the dual - action truss rod allows fine adjustment of the guitar neck
*EXQUISITE LOOK - With state of art crafting and assembling, hand rubbed finish, retro style, silky smooth body lines, white ABS binding, all together present an exquisite artwork",https://www.amazon.in/Kadence-Acoustica-Acoustic-Guitar-A03/dp/B08WCTFVT9/ref=sr_1_37?keywords=Guitars&qid=1656388220&sr=8-37
40,Visit the JUAREZ Store,"JUAREZ Arpéggio 104.14 cm (41 Inch) Semi-Acoustic Guitar Kit, Thin Line Body, Spruce Top, with 4 Band EQ, Natural",3.2 out of 5,13 ratings,-,7 Days Replacement,-,In stock.,"Thin Line Sleek Body, Glossy finish, Number of frets - 21, 41 Inch Acoustic Guitar with Dual Action Truss Rod which gives you the liberty to adjust the action of your neck in either direction if warped.
White+Black line ABS Binding and full wood construction with geared tuning, wooden frame and Alice Brand Stainless steel copper alloy strings. Features a sturdy top with smooth curves, promoting comfort during playing. This solid wood produces a smooth and rich sound ideal for rock, folk, country, and every genre in between!
Loosening a truss rod (turning counter-clockwise) adds relief to (decreases tension on) the neck which results in increased (higher) string action height. This reduces relief, lowering the string action (height of the strings over the frets). Turn the nut clockwise to tighten the rod.
6 Stainless Steel Alice Brand strings especially for beginners. Wound strings are made of copper alloy. Stainless steel plain string, steel core, copper alloy winding, anti-rust coating.
Material : Top- Spruce Wood, Back, Sides - Linden Solid Wood, Neck - Okoume, Fretboard & Bridge - Rosewood, Machine Head : Chrome Diecast, Stainless Steel Copper Wound Strings
4 Band Equalizer - EQ:7545R",https://www.amazon.in/JUAREZ-Arp%C3%A9ggio-Semi-Acoustic-Guitar-Natural/dp/B08KHFJKZK/ref=sr_1_38?keywords=Guitars&qid=1656388220&sr=8-38
41,Visit the JUAREZ Store,JUAREZ Acoustic Guitar 3xE 1st String & 2 Pick Set JRGSE32,4 out of 5,116 ratings,-,7 Days Replacement,-,In stock.,"Juarez Acoustic Guitar 3xE 1st String & 2 Pick Set JRGSE32
Model No: JRGSE32
item package dimensions: 60.0 L x 30.0 W x 60.0 H (millimeters)
item weight: 60.0 grams",https://www.amazon.in/JUAREZ-Acoustic-Guitar-String-JRGSE32/dp/B08MW1WPW5/ref=sr_1_39?keywords=Guitars&qid=1656388220&sr=8-39
42,Brand: DEVICE OF URBAN INFOTECH,DEVICE OF URBAN INFOTECH Guitar Tuner 360 degree Digital Tuner Easy to Use Highly Accurate Clip-on Tuner Best for Acoustic and Electric Guitar Bass Violin Ukulele With Capo & 5 Picks(Design may very),2 out of 5,6 ratings,-,7 Days Replacement,-,In stock.,"【Tuning Instrument】Simplicity and accuracy, clip-on tuner for chromatic, guitar, bass, ukulele, violin
【6 String Tuner】6 C tone standard pitch ( bass mi, bass la, alto re, alto sol, alto Si and high pitched mi ), corresponding to the 6 strings of guitar or other musical instruments
【Automatic shut-off function】Clear LCD digital display with a good backlight making it easy to read, the tuner will be power off automatically after 3 minutes if no operation
【360 Degree Rotatable】With 360 degree rotational clip, you can adjust the angle you need
【Easy To Use】Lightweight and compact size, suitable for music teachers, professional and beginning players",https://www.amazon.in/DEVICE-URBAN-INFOTECH-Accurate-Acoustic/dp/B08BZXMJTP/ref=sr_1_40?keywords=Guitars&qid=1656388220&sr=8-40
43,Visit the YAMAHA Store,"Yamaha FS100C Acoustic Guitar, Black",4.4 out of 5,272 ratings,-,7 Days Replacement,-,In stock.,"Top: Spruce back/sides
Mahogany neck
Nato fret board
Rosewood bridge
Snorkeling frets: 20
Open chrome tuners
Finishes: black",https://www.amazon.in/Yamaha-FS-100C-6-String-Acoustic-without/dp/B00PAS9CK6/ref=sr_1_41?keywords=Guitars&qid=1656388220&sr=8-41
44,Visit the Henrix Store,"Henrix 40C 40-Inch Cutaway Acoustic Guitar with Dual Action Truss Rod, Gigbag, Picks, String Set, Strap, Cloth & Ebook",-,-,-,7 Days Replacement,-,In stock.,"Single-Cutaway Body Style | Full Linden Body | Linden Back and Sides | Easy-to-Play Neck
Dual-Action Truss Rod | Printed Binding
Size: 40” | Body Shape: Cutaway | Top wood: Linden | Back & sides: Linden | Body finish: High-Gloss Glazing Finish | Orientation: Right-handed | Binding: Printed Binding
Fingerboard Material: ABS | Number of Frets: 20 | Scale Length: 650mm | Nut Width: 43mm | Truss Rod: Single-Action Truss Rod | Tuning Machines: Open Gear
For any queries please call on our Helpline number : +91-22-61876973 / +91-22-42035353 , Email Us: helpdesk@bajaao.com , Whats app: +91 8369446293",https://www.amazon.in/Henrix-40-Inch-Cutaway-Acoustic-Guitar/dp/B0B46MGFXH/ref=sr_1_42?keywords=Guitars&qid=1656388220&sr=8-42
45,Visit the JUAREZ Store,"Juârez Acoustic Guitar, 38 Inch Cutaway, JRZ38C with Bag, Strings, Pick and Strap, Blue",4.1 out of 5,"1,284 ratings",-,7 Days Replacement,-,In stock.,"Blue Glossy Finish, Number of Frets: 18, Acoustic Guitar with strap, Bag, Strings and 2 Picks
Great looks with an innovative design to produce good quality sound
Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway
Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks
Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings",https://www.amazon.in/JUAREZ-JRZ38C-Handed-Acoustic-Strings/dp/B01FYYTDX6/ref=sr_1_43?keywords=Guitars&qid=1656388220&sr=8-43
46,Visit the JUAREZ Store,"Juarez Acoustic Guitar, 38 Inch Cutaway with Pick Guard, 38CPG with Bag, Strings, Pick and Strap, Black",3.9 out of 5,494 ratings,-,7 Days Replacement,-,In stock.,"Black Glossy Finish, Number of Frets: 18, Acoustic Guitar with strap, Bag, Strings and 2 Picks
Great looks with an innovative design to produce good quality sound
Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway
Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks
Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings",https://www.amazon.in/Juarez-Acoustic-Guitar-Cutaway-Strings/dp/B075XMRKMY/ref=sr_1_44?keywords=Guitars&qid=1656388220&sr=8-44
47,Brand: AUREUS,AUREUS 4 String Acoustic Guitar Musical Instrument Educational Small Guitar for Beginners Kids Children,5 out of 5,1 rating,-,7 Days Replacement,-,In stock.,"4 String which are tune-able. Perfect for kids who is interested in music.
Crisp, clear and very Good sound quality, Lightweight, easy to hold for kids, with nice wooden finishing for decoration
It Is Fully Functional with All the Tuning Keys and Playable.
A Great Value For The Money which makes it ideal for gift and a play toy
Size: 22"" x 8"" x 2"" Color: Mahogany and Black. Material: Plastic (with wooden finishing for decoration)",https://www.amazon.in/AUREUS-Acoustic-Instrument-Educational-Beginners/dp/B09HHLRZ7S/ref=sr_1_45?keywords=Guitars&qid=1656388220&sr=8-45
48,Brand: Epiphone,"Epiphone Les Paul Classic 6 String Right Handed Electric Guitar, Ebony",4.7 out of 5,4 ratings,-,7 Days Replacement,-,In stock.,"Late 1950s-inspired Les Paul solidbody guitar at a budget-friendly price
Richly toned mahogany body with a snappy carved maple top, Gorgeous Indian laurel fingerboard with vibrant overtones
High-output Alnico Classic PRO humbuckers deliver classic rock ‘n’ roll sounds
Rock-solid tuning stability with stopbar tailpiece, LockTone Tune-o-matic bridge, and Grover Rotomatic machine heads",https://www.amazon.in/Epiphone-Classic-String-Handed-Electric/dp/B085GCG3LN/ref=sr_1_46?keywords=Guitars&qid=1656388220&sr=8-46
49,Visit the Intern Store,"Intern 38C Acoustic Steel-string Guitar Premium White Cutaway Design with carry bag, strings, guitar strap and plectrums (INT-38C-WH)",4 out of 5,"10,366 ratings",-,7 Days Replacement,-,-,"Great looks with an innovative design to produce quality warm bright resonant tone
Material: Conditioned wooden Body with Rosewood finger board, Ebony fretboard and 38-inch cutaway design
Combo includes Premium White colored Guitar, quality and durable carry bag with extra pockets and comfort handle, Intern Plectrums, Strings and Guitar strap
Maximum wood construction with geared tuning, pine-wood bracing, wood frame and steel strings
Sturdy box package with multiple plies plus instrument wrap ensure that guitar reaches you as it is just out of the factory with no damages or scratches
Bag with stylish nylon made and long lasting material",https://www.amazon.in/Intern-Acoustic-Steel-string-plectrums-INT-38C-WH/dp/B09LR94Z2X/ref=sr_1_47?keywords=Guitars&qid=1656388220&sr=8-47
